Zeitstempel,Streckenabschnitt,Lufttemperatur (°C),Schneetyp,Schneefeuchte,Wachs-Marke,Produktname des Wachses,Bewertung der Wachsleistung,Schneetemperatur (°C),Anzahl der Schichten
2025-01-14 08:30,Möserer Steig,-6,Alt / umgewandelt,Trocken,Rode,Blue Super Extra,4,-7,4
2025-01-14 08:45,Alpenbad-Anstieg,-3,Kunstschnee,Normal,Swix,VR45,5,-4,5
2025-01-14 09:10,Brunschkopf-Anstieg,-1,Nassschnee,Nass,Swix,KR70,3,0,3
2025-01-14 09:30,Möserer Steig,-5,Neuschnee kalt,Trocken,Start,SFX Blue,4,-6,4
2025-01-14 10:00,Alpenbad-Anstieg,0,Alt / umgewandelt,Normal,Vauhti,K-Red,2,-1,3
2025-01-14 10:20,Brunschkopf-Anstieg,1,Nassschnee,Nass,Swix,KR50,5,1,2
2025-01-14 11:00,Möserer Steig,-4,Neuschnee fein,Trocken,Rex,Green Grip,3,-5,4
2025-01-14 11:40,Alpenbad-Anstieg,-2,Kunstschnee,Normal,Rode,Multigrade Violet,4,-3,3
2025-01-14 12:10,Brunschkopf-Anstieg,2,Nassschnee,Nass,Start,Klister Universal Wide,3,2,2
2025-01-14 12:30,Möserer Steig,-3,Alt / umgewandelt,Normal,Swix,VR50,5,-4,5
2025-01-14 08:15,Möserer Steig,-5,Alt / umgewandelt,Normal,Rode,Blue Super Extra,4,-4,4
2025-01-14 08:20,Alpenbad-Anstieg,-3,Kunstschnee,Nass,Swix,VR45,5,-2,5
2025-01-14 08:25,Brunschkopf-Anstieg,-7,Neuschnee kalt,Trocken,Rex,Green,3,-7,3
2025-01-14 08:30,Möserer Steig,-6,Neuschnee fein,Trocken,Star Ski Wax,Green Grip,4,-6,4
2025-01-14 08:35,Alpenbad-Anstieg,-2,Alt / umgewandelt,Normal,Swix,VR40,5,-3,4
2025-01-14 08:40,Brunschkopf-Anstieg,0,Nassschnee,Nass,Toko,Red Klister,2,0,3
2025-01-14 08:45,Möserer Steig,-1,Kunstschnee,Nass,Start,Oslo Red,4,-1,4
2025-01-14 08:50,Alpenbad-Anstieg,-4,Alt / umgewandelt,Normal,Rode,Multigrade Violet,5,-4,5
2025-01-14 08:55,Brunschkopf-Anstieg,-3,Neuschnee kalt,Trocken,Vauhti,Green,3,-3,3
2025-01-14 09:00,Möserer Steig,-8,Neuschnee fein,Trocken,Swix,VG35,4,-8,4
2025-01-14 09:05,Alpenbad-Anstieg,1,Nassschnee,Nass,Rex,Gold Klister,2,1,3
2025-01-14 09:10,Brunschkopf-Anstieg,-5,Alt / umgewandelt,Normal,Toko,Blue Grip,4,-5,4
2025-01-14 09:15,Möserer Steig,-6,Alt / umgewandelt,Normal,Rode,SuperBlue,5,-6,5
2025-01-14 09:20,Alpenbad-Anstieg,-2,Kunstschnee,Normal,Star Ski Wax,Blue,4,-2,4
2025-01-14 09:25,Brunschkopf-Anstieg,-9,Neuschnee fein,Trocken,Swix,VG30,3,-9,3
2025-01-14 09:30,Möserer Steig,-3,Alt / umgewandelt,Normal,Start,Green Gripwax,4,-3,4
2025-01-14 09:35,Alpenbad-Anstieg,0,Nassschnee,Nass,Rode,Rossa Klister,3,0,3
2025-01-14 09:40,Brunschkopf-Anstieg,-1,Kunstschnee,Nass,Swix,VR50,5,-1,5
2025-01-14 09:45,Möserer Steig,-4,Neuschnee kalt,Trocken,Rex,Blue,4,-4,4
2025-01-14 09:50,Alpenbad-Anstieg,-5,Alt / umgewandelt,Normal,Vauhti,Carrot,5,-5,5
